醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
5901162780,0,32,2020/02/10 18:00:38
5901162806,0,30,2020/02/10 18:00:38
5901162815,4,24,2020/02/10 18:00:38
5901162833,0,20,2020/02/10 18:00:38
5901162879,0,2,2020/02/10 18:00:38
5901163027,2,18,2020/02/10 18:00:38
5901163107,0,52,2020/02/10 18:00:38
5901163152,0,82,2020/02/10 18:00:38
5901163214,0,20,2020/02/10 18:00:38
5901163241,0,68,2020/02/10 18:00:38
5901163250,0,58,2020/02/10 18:00:38
5901163296,6,4,2020/02/10 18:00:38
5901163312,6,99,2020/02/10 18:00:38
5901163376,0,22,2020/02/10 18:00:38
5901163410,0,6,2020/02/10 18:00:38
5901163429,0,20,2020/02/10 18:00:38
5901163438,0,28,2020/02/10 18:00:38
5901163474,0,88,2020/02/10 18:00:38
5901163483,0,34,2020/02/10 18:00:38
5901163492,0,10,2020/02/10 18:00:38
5901163509,0,18,2020/02/10 18:00:38
5901170022,6,70,2020/02/10 18:00:38
5901170040,0,26,2020/02/10 18:00:38
5901170059,0,30,2020/02/10 18:00:38
5901170139,0,89,2020/02/10 18:00:38
5901170184,8,42,2020/02/10 18:00:38
5901170255,4,42,2020/02/10 18:00:38
5901170264,0,77,2020/02/10 18:00:38
5901170335,0,90,2020/02/10 18:00:38
5901170433,190,89,2020/02/10 18:00:38
5901170442,0,20,2020/02/10 18:00:38
5901170648,10,12,2020/02/10 18:00:38
5901170906,0,66,2020/02/10 18:00:38
5901170915,0,82,2020/02/10 18:00:38
5901172071,0,6,2020/02/10 18:00:38
5901172160,202,60,2020/02/10 18:00:38
5901172179,0,26,2020/02/10 18:00:38
5901172197,0,24,2020/02/10 18:00:38
5901172213,0,126,2020/02/10 18:00:38
5901172240,18,34,2020/02/10 18:00:38
5901172268,60,12,2020/02/10 18:00:38
5901172544,0,28,2020/02/10 18:00:38
5901172580,0,34,2020/02/10 18:00:38
5901172688,0,64,2020/02/10 18:00:38
5901172697,10,2,2020/02/10 18:00:38
5901172704,0,64,2020/02/10 18:00:38
5901172740,0,44,2020/02/10 18:00:38
5901172786,4,42,2020/02/10 18:00:38
5901172820,0,4,2020/02/10 18:00:38
5901172839,0,60,2020/02/10 18:00:38
5901172857,166,100,2020/02/10 18:00:38
5901172924,0,88,2020/02/10 18:00:38
5901172933,0,16,2020/02/10 18:00:38
5901172964,0,24,2020/02/10 18:00:38
5901173041,14,60,2020/02/10 18:00:38
5901173176,0,16,2020/02/10 18:00:38
5901173201,0,82,2020/02/10 18:00:38
5901173210,0,14,2020/02/10 18:00:38
5901173238,0,34,2020/02/10 18:00:38
5901173283,20,24,2020/02/10 18:00:38
5901173292,16,66,2020/02/10 18:00:38
5901173372,0,54,2020/02/10 18:00:38
5901173390,0,100,2020/02/10 18:00:38
5901173407,0,94,2020/02/10 18:00:38
5901173498,2,52,2020/02/10 18:00:38
5901173587,1,8,2020/02/10 18:00:38
5901173603,0,12,2020/02/10 18:00:38
5901173658,4,130,2020/02/10 18:00:38
5901173676,0,72,2020/02/10 18:00:38
5901173685,0,32,2020/02/10 18:00:38
5901173701,30,20,2020/02/10 18:00:38
5901173710,0,34,2020/02/10 18:00:38
5901173729,0,56,2020/02/10 18:00:38
5901173738,0,26,2020/02/10 18:00:38
5901173747,0,24,2020/02/10 18:00:38
5901173756,1,45,2020/02/10 18:00:38
5901173765,2,24,2020/02/10 18:00:38
5901173774,34,34,2020/02/10 18:00:38
5901173783,0,34,2020/02/10 18:00:38
5901173792,0,54,2020/02/10 18:00:38
5901173809,4,58,2020/02/10 18:00:38
5901173818,105,32,2020/02/10 18:00:38
5901173827,0,28,2020/02/10 18:00:38
5901180037,0,60,2020/02/10 18:00:38
5901180055,0,90,2020/02/10 18:00:38
5901180108,14,80,2020/02/10 18:00:38
5901180126,0,54,2020/02/10 18:00:38
5901180162,6,12,2020/02/10 18:00:38
5901180224,2,42,2020/02/10 18:00:38
5901180304,182,120,2020/02/10 18:00:38
5901180322,0,10,2020/02/10 18:00:38
5901180368,0,2,2020/02/10 18:00:38
5901182031,0,22,2020/02/10 18:00:38
5901182068,0,108,2020/02/10 18:00:38
5901182086,0,54,2020/02/10 18:00:38
5901182111,6,80,2020/02/10 18:00:38
5901182219,2,20,2020/02/10 18:00:38
5901183323,0,22,2020/02/10 18:00:38
5901183387,4,50,2020/02/10 18:00:38
5901183396,0,20,2020/02/10 18:00:38
5901183510,0,66,2020/02/10 18:00:38
5901183529,2,64,2020/02/10 18:00:38
5901183645,0,38,2020/02/10 18:00:38
5901183672,2,18,2020/02/10 18:00:38
5901183716,0,108,2020/02/10 18:00:38
5901183789,104,42,2020/02/10 18:00:38
5901183798,0,58,2020/02/10 18:00:38
5901183823,0,23,2020/02/10 18:00:38
5901183887,4,2,2020/02/10 18:00:38
5901183896,0,2,2020/02/10 18:00:38
5901183985,0,8,2020/02/10 18:00:38
5901184062,1,0,2020/02/10 18:00:38
5901184071,0,28,2020/02/10 18:00:38
5901184080,6,76,2020/02/10 18:00:38
5901184142,2,60,2020/02/10 18:00:38
5901184179,24,46,2020/02/10 18:00:38
5901184213,0,8,2020/02/10 18:00:38
5901184222,0,88,2020/02/10 18:00:38
5901184240,52,30,2020/02/10 18:00:38
5901184259,4,38,2020/02/10 18:00:38
5901184366,0,36,2020/02/10 18:00:38
5901184375,0,60,2020/02/10 18:00:38
5901184437,6,64,2020/02/10 18:00:38
5901184446,6,0,2020/02/10 18:00:38
5901184464,0,85,2020/02/10 18:00:38
5901184491,12,30,2020/02/10 18:00:38
5901184517,0,62,2020/02/10 18:00:38
5901184535,0,12,2020/02/10 18:00:38
5901190024,4,60,2020/02/10 18:00:38
5901190033,66,118,2020/02/10 18:00:38
5901190042,0,76,2020/02/10 18:00:38
5901190060,0,16,2020/02/10 18:00:38
5901190079,0,102,2020/02/10 18:00:38
5901190104,2,110,2020/02/10 18:00:38
